Fecha,Reserva(Hm3),Salida(m3/s)
02/10/1995,111.099,104.880
03/10/1995,110.550,66.190
04/10/1995,109.735,35.770
05/10/1995,109.131,155.870
06/10/1995,106.068,140.870
07/10/1995,111.376,31.330
08/10/1995,111.341,102.360
09/10/1995,108.334,70.640
10/10/1995,110.005,47.990
11/10/1995,112.671,70.160
12/10/1995,111.099,37.850
13/10/1995,109.466,103.290
14/10/1995,109.097,32.820
15/10/1995,109.398,20.140
16/10/1995,107.581,93.800
17/10/1995,110.447,29.620
18/10/1995,112.178,73.050
19/10/1995,110.516,86.120
20/10/1995,111.272,59.940
21/10/1995,110.721,64.500
22/10/1995,112.990,17.780
23/10/1995,111.862,99.650
24/10/1995,112.459,87.480
25/10/1995,110.466,21.840
26/10/1995,111.862,32.590
27/10/1995,110.755,73.110
28/10/1995,110.550,60.610
29/10/1995,112.494,24.170
30/10/1995,111.099,43.390
31/10/1995,111.653,49.250
01/11/1995,111.481,3.760
02/11/1995,110.243,93.020
03/11/1995,109.735,38.710
04/11/1995,111.549,73.680
05/11/1995,113.240,39.260
06/11/1995,112.955,114.510
07/11/1995,111.619,42.170
08/11/1995,112.143,84.370
09/11/1995,111.584,50.540
10/11/1995,113.562,84.850
11/11/1995,112.777,62.630
12/11/1995,110.996,87.190
13/11/1995,112.742,23.520
14/11/1995,112.143,118.120
15/11/1995,112.143,195.810
16/11/1995,111.272,27.430
17/11/1995,111.272,82.960
18/11/1995,109.131,139.690
19/11/1995,106.004,186.990
20/11/1995,110.516,129.260
21/11/1995,111.828,106.350
22/11/1995,111.341,73.800
23/11/1995,109.667,136.420
24/11/1995,110.996,63.710
25/11/1995,110.516,120.390
26/11/1995,110.277,54.800
27/11/1995,112.143,50.050
28/11/1995,111.619,137.420
29/11/1995,112.742,38.390
30/11/1995,111.306,234.730
01/12/1995,113.240,192.150
02/12/1995,110.447,142.290
03/12/1995,110.447,45.550
04/12/1995,109.701,103.120
05/12/1995,111.202,66.410
06/12/1995,111.653,87.870
07/12/1995,113.312,67.970
08/12/1995,112.389,156.230
09/12/1995,112.389,161.250
10/12/1995,110.481,183.250
11/12/1995,110.755,205.830
12/12/1995,111.341,130.470
13/12/1995,110.243,161.970
14/12/1995,115.091,173.710
15/12/1995,113.240,361.160
16/12/1995,112.707,78.770
17/12/1995,112.143,70.500
18/12/1995,113.598,141.930
19/12/1995,109.735,238.250
20/12/1995,110.447,107.920
21/12/1995,111.619,121.320
22/12/1995,112.424,19.430
23/12/1995,112.178,87.160
24/12/1995,112.072,110.010
25/12/1995,114.796,87.790
26/12/1995,103.541,496.300
27/12/1995,101.609,800.970
28/12/1995,108.400,1087.780
29/12/1995,114.176,1189.810
30/12/1995,112.671,1349.200
31/12/1995,111.376,1243.890
01/01/1996,109.198,1393.760
02/01/1996,114.760,1372.630
03/01/1996,106.227,1951.260
04/01/1996,111.030,1805.740
05/01/1996,114.176,1445.810
06/01/1996,114.176,2019.840
07/01/1996,114.467,2501.250
08/01/1996,115.590,2771.461
09/01/1996,113.026,3446.030
10/01/1996,112.707,3164.150
11/01/1996,111.376,2784.470
12/01/1996,112.671,1801.170
13/01/1996,113.923,1181.800
14/01/1996,113.026,1210.170
15/01/1996,112.707,1368.190
16/01/1996,109.634,1676.230
17/01/1996,113.598,2065.310
18/01/1996,112.424,1281.080
19/01/1996,113.062,1003.990
20/01/1996,102.992,946.650
21/01/1996,115.017,934.700
22/01/1996,112.671,2350.821
23/01/1996,112.143,2609.140
24/01/1996,114.687,2581.741
25/01/1996,114.504,2388.959
26/01/1996,109.164,2093.510
27/01/1996,112.213,1431.250
28/01/1996,112.742,1112.610
29/01/1996,112.671,1522.140
30/01/1996,112.671,1832.500
31/01/1996,113.634,1607.490
01/02/1996,111.932,1056.296
02/02/1996,104.218,989.954
03/02/1996,113.814,977.303
04/02/1996,112.955,974.167
05/02/1996,112.990,966.759
06/02/1996,112.389,1140.417
07/02/1996,108.864,965.116
08/02/1996,111.376,970.174
09/02/1996,112.742,994.340
10/02/1996,110.516,960.035
11/02/1996,113.347,950.602
12/02/1996,108.831,935.336
13/02/1996,114.140,664.618
14/02/1996,113.347,713.692
15/02/1996,113.598,635.359
16/02/1996,113.312,673.646
17/02/1996,111.862,635.833
18/02/1996,113.026,628.067
19/02/1996,113.851,716.308
20/02/1996,114.431,690.683
21/02/1996,114.176,717.303
22/02/1996,113.527,700.810
23/02/1996,111.341,729.780
24/02/1996,111.584,655.289
25/02/1996,113.851,626.863
26/02/1996,114.796,706.412
27/02/1996,112.107,723.310
