Fecha,Reserva(Hm3),Salida(m3/s)
02/10/1995,173.183,141.870
03/10/1995,171.266,88.380
04/10/1995,171.924,28.160
05/10/1995,173.844,133.630
06/10/1995,173.123,149.220
07/10/1995,172.103,43.120
08/10/1995,173.664,84.290
09/10/1995,174.627,59.480
10/10/1995,170.609,94.490
11/10/1995,170.132,75.680
12/10/1995,170.430,34.400
13/10/1995,172.643,77.670
14/10/1995,173.243,25.880
15/10/1995,174.085,10.390
16/10/1995,172.943,107.010
17/10/1995,169.596,68.360
18/10/1995,169.894,69.610
19/10/1995,171.625,66.090
20/10/1995,172.223,53.010
21/10/1995,171.984,67.280
22/10/1995,170.430,35.750
23/10/1995,171.744,84.440
24/10/1995,169.954,108.210
25/10/1995,171.984,3.000
26/10/1995,171.445,38.820
27/10/1995,173.905,44.650
28/10/1995,175.412,43.170
29/10/1995,173.965,40.910
30/10/1995,176.016,19.650
31/10/1995,176.198,47.150
01/11/1995,177.288,3.000
02/11/1995,175.895,109.140
03/11/1995,173.484,66.630
04/11/1995,172.103,89.660
05/11/1995,172.523,34.410
06/11/1995,174.567,90.840
07/11/1995,176.561,19.100
08/11/1995,175.895,92.080
09/11/1995,173.544,77.750
10/11/1995,173.784,82.070
11/11/1995,173.664,64.020
12/11/1995,175.351,67.660
13/11/1995,175.050,27.010
14/11/1995,177.106,94.320
15/11/1995,177.106,195.810
16/11/1995,178.686,9.150
17/11/1995,176.622,89.610
18/11/1995,173.844,153.590
19/11/1995,171.206,182.410
20/11/1995,173.905,83.270
21/11/1995,176.440,77.000
22/11/1995,177.652,59.760
23/11/1995,174.748,170.050
24/11/1995,173.604,76.960
25/11/1995,177.167,79.150
26/11/1995,177.288,53.400
27/11/1995,176.682,57.060
28/11/1995,175.593,150.020
29/11/1995,176.622,26.490
30/11/1995,174.206,262.700
01/12/1995,171.984,217.870
02/12/1995,173.123,129.110
03/12/1995,173.664,41.280
04/12/1995,172.283,116.820
05/12/1995,170.490,75.030
06/12/1995,173.183,56.700
07/12/1995,176.258,32.380
08/12/1995,178.807,126.720
09/12/1995,179.355,154.910
10/12/1995,179.599,180.430
11/12/1995,176.137,245.900
12/12/1995,176.258,129.070
13/12/1995,175.774,167.570
